epoch,train_loss,val_loss,train_acc,val_acc
1,13.10951340519483,3.298898572921753,0.06575602052901698,0.1511111111111111
2,3.409533784025232,3.1543635665045846,0.13389656533754443,0.18888888888888888
3,3.225085299059284,2.886197026570638,0.16656928543229374,0.23333333333333334
4,3.1046549864828092,2.7451414182451037,0.19352546387682593,0.2288888888888889
5,3.0015066809076307,2.6526944298214383,0.21403868930122386,0.2511111111111111
6,2.9127081551346627,2.4810676492585078,0.23644690090801423,0.3244444444444444
7,2.8264743746837704,2.5871639919281004,0.25509672325305965,0.2822222222222222
8,2.7555802373852223,2.372238758537504,0.2683300434267667,0.31555555555555553
9,2.696654921289588,2.4039747757381864,0.28467429924990134,0.32666666666666666
10,2.6410916286337485,2.2199077563815646,0.2992025266482432,0.37777777777777777
11,2.5908911852002663,2.239879015551673,0.30675088827477304,0.33111111111111113
12,2.5475078303513676,2.210222712490294,0.31872088432688517,0.4
13,2.5130783917863426,2.2026289081573487,0.32934859849980264,0.3844444444444444
14,2.462493237782692,2.0740526598029665,0.33626529806553496,0.4066666666666667
15,2.4306888581489416,2.1018442996342976,0.34548756415317805,0.38666666666666666
16,2.392965405302654,2.0326245339711506,0.34976707461508094,0.43333333333333335
17,2.3710639723760076,2.0867182211081188,0.35632056849585475,0.4
18,2.345915193203829,2.0145268827014498,0.3661271219897355,0.4311111111111111
19,2.326567403331746,2.0873347576790384,0.3671061981839716,0.41333333333333333
20,2.3058910005232867,2.004540276924769,0.37269640742202925,0.4444444444444444
