epoch,train_loss,val_loss,train_acc,val_acc
1,10.584333011575993,3.213414577378167,0.07099881563363601,0.1688888888888889
2,3.3977139839973556,3.118484879599677,0.12993288590604027,0.18444444444444444
3,3.230791144177135,2.9219989670647517,0.1654480852743782,0.20222222222222222
4,3.14890923667227,2.762785737779405,0.1815554678247138,0.24666666666666667
5,3.0170182186485137,2.6938845602671306,0.20639557836557443,0.25333333333333335
6,2.9185431118365384,2.4948124233881632,0.23305171733122781,0.31555555555555553
7,2.8859733178575095,2.5026561408572725,0.24014212396367945,0.32
8,2.7773408396781503,2.4867313602235583,0.2641294907224635,0.3377777777777778
9,2.758800173995526,2.4168491615189445,0.26967232530596136,0.33555555555555555
10,2.6758507764419455,2.3649215761820477,0.2866008685353336,0.32
11,2.608439898413723,2.2532207261191473,0.3009869719699961,0.39111111111111113
12,2.5620688666536835,2.247846952544318,0.31169364390051324,0.37777777777777777
13,2.5174073213425916,2.1541488907072277,0.3242005527043032,0.4088888888888889
14,2.4831908338021913,2.1375150916311476,0.33078562968811687,0.3977777777777778
15,2.447506249044142,2.138939138783349,0.33926569285432295,0.38222222222222224
16,2.4210451797398003,2.069163790014055,0.3466719305171733,0.42444444444444446
17,2.3801344928297183,2.0601561980777316,0.3548519542045006,0.43555555555555553
18,2.3535629490906196,2.0404140747918023,0.3593367548361627,0.4222222222222222
19,2.3487027630051087,2.044855447875129,0.3646269245953415,0.4311111111111111
20,2.3168545576314705,2.0542325607935585,0.3703908409001185,0.4288888888888889
